id;nome;estado_id;codigo_ibge;;;44;Nossa Senhora do Livramento Monsenhor Tabosa
153;Porto Real do Colégio;2;7503;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Porto Real do Colégio','7503','2');;
154;Poxim Coruripe;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Poxim Coruripe','0','2');;
155;Quebrangulo;2;7602;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Quebrangulo','7602','2');;
156;Riacho do Sertão Major Isidoro;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Riacho do Sertão Major Isidoro','0','2');;
157;Riacho Fundo de Cima Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Riacho Fundo de Cima Palmeira dos Índios','0','2');;
158;Rio Largo;2;7701;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Rio Largo','7701','2');;
159;Rocha Cavalcante União dos Palmares;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Rocha Cavalcante União dos Palmares','0','2');;
160;Roteiro;2;7800;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Roteiro','7800','2');;
161;Santa Efigênia Capela;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Santa Efigênia Capela','0','2');;
162;Santa Luzia do Norte;2;7909;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Santa Luzia do Norte','7909','2');;
163;Santana do Ipanema;2;8006;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Santana do Ipanema','8006','2');;
164;Santana do Mundaú;2;8105;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Santana do Mundaú','8105','2');;
165;Santo Antônio Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Santo Antônio Palmeira dos Índios','0','2');;
166;São Brás;2;8204;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Brás','8204','2');;
167;São José da Laje;2;8303;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São José da Laje','8303','2');;
168;São José da Tapera;2;8402;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São José da Tapera','8402','2');;
169;São Luís do Quitunde;2;8501;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Luís do Quitunde','8501','2');;
170;São Miguel dos Campos;2;8600;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Miguel dos Campos','8600','2');;
171;São Miguel dos Milagres;2;8709;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Miguel dos Milagres','8709','2');;
172;São Sebastião;2;8808;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Sebastião','8808','2');;
173;Sapucaia Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Sapucaia Arapiraca','0','2');;
174;Sapucaia Atalaia;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Sapucaia Atalaia','0','2');;
175;Satuba;2;8907;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Satuba','8907','2');;
176;Senador Rui Palmeira;2;8956;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Senador Rui Palmeira','8956','2');;
177;Serra da Mandioca Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Serra da Mandioca Palmeira dos Índios','0','2');;
178;Serra do São José Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Serra do São José Palmeira dos Índios','0','2');;
179;Taboleiro do Pinto Rio Largo;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Taboleiro do Pinto Rio Largo','0','2');;
180;Taboquinha Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Taboquinha Arapiraca','0','2');;
181;Tanque D Arca;2;9004;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Tanque D Arca','9004','2');;
182;Taquarana;2;9103;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Taquarana','9103','2');;
183;Tatuamunha Porto de Pedras;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Tatuamunha Porto de Pedras','0','2');;
184;Teotônio Vilela;2;9152;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Teotônio Vilela','9152','2');;
